model,ship_id,val_rows,R1,R3,R5,gallery_count,ship_max_day_fraction,ship_top3_day_fraction,majority_date_global_fraction,ship_concentration_bin,global_spike_bin,gallery_count_bin,Score
projection_clip_trainonly,55,10,0.0,0.0,0.0,52,0.25,0.5576923076923077,0.6658595641646489,<=25%,>50%,Q3,0.0
projection_clip_trainonly,61,15,0.0,0.0,0.0,105,0.22857142857142856,0.5047619047619047,0.125,<=25%,10-20%,Q4_high_count,0.0
projection_clip_trainonly,62,10,0.0,0.0,0.0,65,0.23076923076923078,0.46153846153846156,0.024295969077857537,<=25%,<=10%,Q3,0.0
projection_clip_trainonly,74,6,0.0,0.0,0.0,43,0.3023255813953488,0.6046511627906976,0.021164021164021163,25-50%,<=10%,Q2,0.0
projection_clip_trainonly,77,8,0.0,0.125,0.25,45,0.28888888888888886,0.6666666666666666,0.03147432357813363,25-50%,<=10%,Q2,0.0875
projection_clip_trainonly,88,6,0.0,0.16666666666666666,0.16666666666666666,33,1.0,1.0,0.28512396694214875,>75%,20-50%,Q1_low_count,0.08333333333333333
projection_clip_trainonly,89,19,0.05263157894736842,0.21052631578947367,0.3157894736842105,60,0.5,1.0,0.056402439024390245,25-50%,<=10%,Q3,0.1526315789473684
projection_clip_trainonly,90,9,0.0,0.0,0.0,48,0.3125,0.75,0.08003048780487805,25-50%,<=10%,Q2,0.0
projection_clip_trainonly,91,12,0.0,0.0,0.16666666666666666,23,0.5652173913043478,1.0,0.020579268292682928,50-75%,<=10%,Q1_low_count,0.03333333333333333
projection_clip_trainonly,94,33,0.0,0.0,0.0,1,1.0,1.0,0.125,>75%,10-20%,Q1_low_count,0.0
projection_clip_trainonly,97,16,0.0,0.125,0.125,66,0.5757575757575758,1.0,0.26859504132231404,50-75%,20-50%,Q3,0.0625
projection_clip_trainonly,98,7,0.0,0.0,0.0,46,0.17391304347826086,0.43478260869565216,0.07331821617535904,<=25%,<=10%,Q2,0.0
projection_clip_trainonly,105,14,0.0,0.14285714285714285,0.2857142857142857,42,0.5952380952380952,1.0,0.019054878048780487,50-75%,<=10%,Q2,0.09999999999999999
projection_clip_trainonly,106,8,0.25,0.25,0.25,57,0.3684210526315789,0.7192982456140351,0.08677685950413223,25-50%,<=10%,Q3,0.25
projection_clip_trainonly,108,8,0.0,0.0,0.0,59,0.3559322033898305,0.6610169491525424,0.16228070175438597,25-50%,10-20%,Q3,0.0
