model,date_basis,date,n,pred_top1_ships,true_ships,gallery_day_count,gallery_day_fraction,pred_gallery_count_mean,pred_ship_max_day_fraction_mean,hit1,hit3,hit5,Score
quick_target100_mel96_f16000,pred_top1_majority_date,2021-02-01,1,1,1,55.0,0.0603070175438596,72.0,0.2777777777777778,0.0,0.0,0.0,0.0
quick_target100_mel96_f16000,pred_top1_majority_date,2021-02-11,84,2,44,208.0,0.22807017543859637,22.30952380952381,0.8825799136859045,0.0,0.05952380952380952,0.08333333333333333,0.034523809523809526
quick_target100_mel96_f16000,pred_top1_majority_date,2021-02-12,14,2,12,139.0,0.15241228070175442,45.57142857142857,0.49256915309677873,0.0,0.07142857142857142,0.07142857142857142,0.03571428571428571
quick_target100_mel96_f16000,pred_top1_majority_date,2021-02-13,2,1,2,79.0,0.0866228070175438,252.0,0.115079365079365,0.0,0.5,0.5,0.25
quick_target100_mel96_f16000,pred_top1_majority_date,2021-02-14,891,2,84,148.0,0.1622807017543859,9.11223344556678,0.9985542810401568,0.09427609427609428,0.1111111111111111,0.12121212121212122,0.10471380471380472
quick_target100_trainonly_mel96_f16000,pred_top1_majority_date,2020-07-27,12,2,11,69.0,0.2851239669421487,34.0,1.0,0.0,0.08333333333333333,0.16666666666666666,0.058333333333333334
quick_target100_trainonly_mel96_f16000,pred_top1_majority_date,2020-07-29,56,1,28,28.0,0.1157024793388429,14.0,1.0,0.125,0.21428571428571427,0.2857142857142857,0.1839285714285714
quick_target100_trainonly_mel96_f16000,pred_top1_majority_date,2020-07-30,1,1,1,42.0,0.1735537190082644,50.0,0.38,0.0,0.0,0.0,0.0
quick_target100_trainonly_mel96_f16000,pred_top1_majority_date,2020-07-31,129,1,37,65.0,0.268595041322314,12.0,1.0,0.046511627906976744,0.14728682170542637,0.1937984496124031,0.1062015503875969
quick_target100_trainonly_mel96_f16000,pred_top1_majority_date,2020-08-01,31,3,21,74.0,0.0564024390243902,31.29032258064516,0.7414746543778803,0.03225806451612903,0.06451612903225806,0.06451612903225806,0.04838709677419354
quick_target100_trainonly_mel96_f16000,pred_top1_majority_date,2020-08-03,26,1,17,27.0,0.0205792682926829,23.0,0.5652173913043478,0.0,0.11538461538461539,0.23076923076923078,0.08076923076923077
quick_target100_trainonly_mel96_f16000,pred_top1_majority_date,2020-08-04,6,1,5,17.0,0.0129573170731707,34.0,0.411764705882353,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
quick_target100_trainonly_mel96_f16000,pred_top1_majority_date,2020-08-05,1,1,1,25.0,0.0190548780487804,42.0,0.5952380952380952,0.0,0.0,0.0,0.0
quick_target100_trainonly_mel96_f16000,pred_top1_majority_date,2020-08-11,3,2,3,56.0,0.0426829268292682,45.0,0.5032051282051282,0.0,0.0,0.0,0.0
quick_target100_trainonly_mel96_f16000,pred_top1_majority_date,2020-08-13,6,1,3,49.0,0.0373475609756097,28.0,0.35714285714285704,0.0,0.0,0.0,0.0
quick_target100_trainonly_mel96_f16000,pred_top1_majority_date,2020-08-14,73,4,35,85.0,0.0647865853658536,24.616438356164384,0.5680300762895444,0.0136986301369863,0.0547945205479452,0.0958904109589041,0.04246575342465753
quick_target100_trainonly_mel96_f16000,pred_top1_majority_date,2020-08-18,8,2,8,224.0,0.1707317073170731,54.75,0.4375,0.0,0.0,0.0,0.0
quick_target100_trainonly_mel96_f16000,pred_top1_majority_date,2020-08-19,22,5,16,222.0,0.1692073170731707,60.45454545454545,0.29564004175303954,0.0,0.13636363636363635,0.18181818181818182,0.07727272727272727
quick_target100_trainonly_mel96_f16000,pred_top1_majority_date,2020-08-21,13,5,12,164.0,0.125,51.15384615384615,0.6242563872100793,0.0,0.15384615384615385,0.15384615384615385,0.07692307692307693
quick_target100_trainonly_mel96_f16000,pred_top1_majority_date,2020-08-22,6,1,5,105.0,0.080030487804878,48.0,0.3125,0.0,0.0,0.0,0.0
quick_target100_trainonly_mel96_f16000,pred_top1_majority_date,2020-10-30,10,5,10,275.0,0.6658595641646489,61.8,0.2805041454497976,0.0,0.0,0.0,0.0
quick_target100_trainonly_mel96_f16000,pred_top1_majority_date,2020-10-31,10,1,10,93.0,0.2251815980629539,28.0,0.5,0.0,0.1,0.1,0.05
quick_target100_trainonly_mel96_f16000,pred_top1_majority_date,2020-11-04,1,1,1,19.0,0.0421286031042128,65.0,0.2461538461538461,0.0,0.0,0.0,0.0
quick_target100_trainonly_mel96_f16000,pred_top1_majority_date,2020-11-06,4,1,4,9.0,0.0199556541019955,36.0,0.1666666666666666,0.0,0.0,0.0,0.0
