weights,w_r100s123_conservative,w_r80s123_balanced,w_r100s777_conservative,w_r100s123_val086,official_R@1,official_R@3,official_R@5,official_Score,official_top1_unique,official_top1_max_fraction,robust_mean_score,robust_min_score,robust_std_score,robust_mean_top1_max_fraction,balanced_score,conservative_score
"(0.05, 0.75, 0.1, 0.1)",0.05,0.75,0.1,0.1,0.044876088412592094,0.09912926992632284,0.14400535833891492,0.08097789685197589,30,0.5900870730073677,0.11998077227559101,0.09529854254818994,0.021092521947558278,0.49366084384417164,0.16009487945055667,0.12862716812607086
"(0.1, 0.8, 0.0, 0.1)",0.1,0.8,0.0,0.1,0.043536503683858,0.0971198928332217,0.14601473543201607,0.08010716677829872,32,0.5867381111855325,0.12007373508326764,0.09581570286788904,0.020929001610650595,0.49092598257400794,0.160078036617681,0.12801501821224326
"(0.1, 0.65, 0.2, 0.05)",0.1,0.65,0.2,0.05,0.046215673141326186,0.09645010046885466,0.14601473543201607,0.08124581379772271,30,0.5934360348292029,0.12049173437948438,0.0946503988737682,0.021516617641949,0.5005666399436721,0.16004734238971075,0.1285710132346068
"(0.0, 0.6, 0.3, 0.1)",0.0,0.6,0.3,0.1,0.047555257870060284,0.0971198928332217,0.14668452779638314,0.08225050234427328,30,0.594775619557937,0.12001028878342061,0.09399343031440638,0.021056977216233348,0.5008496098792747,0.16004116335120655,0.12924721750147647
"(0.15, 0.6, 0.2, 0.05)",0.15,0.6,0.2,0.05,0.046215673141326186,0.09511051574012057,0.14668452779638314,0.0809778968519759,30,0.595445411922304,0.12078711546689588,0.09516658845612389,0.02153348969863537,0.5036251433804193,0.16003149475858813,0.12856119108003783
"(0.65, 0.3, 0.0, 0.05)",0.65,0.3,0.0,0.05,0.047555257870060284,0.09778968519758875,0.14735432016075017,0.0825853985264568,32,0.607501674480911,0.12091587264246566,0.09530736743312998,0.021726042682683418,0.5052247945991344,0.1600297037133508,0.13023908224302178
"(0.2, 0.65, 0.1, 0.05)",0.2,0.65,0.1,0.05,0.04554588077695914,0.09845947756195579,0.14333556597454788,0.08097789685197589,32,0.5927662424648359,0.12052945761273728,0.09483810417644298,0.021787191050274313,0.4999574203247195,0.16001147018320933,0.12839694894019738
"(0.2, 0.8, 0.0, 0.0)",0.2,0.8,0.0,0.0,0.042866711319490956,0.09645010046885466,0.14869390488948425,0.08010716677829872,33,0.5827193569993302,0.11982609956610608,0.09496944052656323,0.02143996643036292,0.49396174720197317,0.1600100830577869,0.12759188704158034
"(0.1, 0.6, 0.3, 0.0)",0.1,0.6,0.3,0.0,0.04688546550569324,0.09444072337575352,0.14534494306764903,0.08084393837910248,31,0.5880776959142666,0.12065861505799516,0.09343031440638197,0.022164388386237528,0.5026489618984202,0.16000605625314865,0.12755909558229345
"(0.05, 0.65, 0.25, 0.05)",0.05,0.65,0.25,0.05,0.04688546550569324,0.09578030810448761,0.14601473543201607,0.08137977227059612,30,0.5927662424648359,0.12025495241865183,0.09446269357109338,0.021731342650228615,0.4989821213312144,0.15995113510506925,0.1286111190561428
"(0.15, 0.75, 0.1, 0.0)",0.15,0.75,0.1,0.0,0.04420629604822505,0.09511051574012057,0.14869390488948425,0.08037508372404555,30,0.5860683188211654,0.12003694666310594,0.09483810417644299,0.022131240532571712,0.49666771539113597,0.1599208346521982,0.12779413581226703
"(0.1, 0.65, 0.15, 0.1)",0.1,0.65,0.15,0.1,0.046215673141326186,0.09778968519758875,0.14333556597454788,0.0811118553248493,30,0.594775619557937,0.12055904639979402,0.09493195682778038,0.0213085784376876,0.49911982317211107,0.15992053720484295,0.1285778337387395
"(0.0, 0.65, 0.3, 0.05)",0.0,0.65,0.3,0.05,0.04822505023442733,0.09578030810448761,0.14534494306764903,0.08191560616208976,30,0.5914266577361018,0.11981681851944401,0.09375879868606288,0.02133242663461249,0.4967237765248648,0.15989782536414995,0.12879500550512119
"(0.15, 0.8, 0.0, 0.05)",0.15,0.8,0.0,0.05,0.043536503683858,0.09645010046885466,0.14601473543201607,0.07990622906898862,31,0.5867381111855325,0.12020610688765018,0.09553361542078044,0.021086469576254093,0.4927645380923523,0.15986842698919912,0.12767303677937883
"(0.0, 0.8, 0.15, 0.05)",0.0,0.8,0.15,0.05,0.04554588077695914,0.09778968519758875,0.14668452779638314,0.08144675150703282,31,0.5847287340924313,0.11913225832274085,0.09399343031440638,0.021393282897297403,0.49114824568552146,0.15986641487311215,0.128443466664236
"(0.0, 0.9, 0.05, 0.05)",0.0,0.9,0.05,0.05,0.044876088412592094,0.09645010046885466,0.144675150703282,0.08030810448760885,31,0.579370395177495,0.1193385087035462,0.09422806194274988,0.02173870690918543,0.4864752715691229,0.15985508488590577,0.1274221354589838
"(0.05, 0.6, 0.25, 0.1)",0.05,0.6,0.25,0.1,0.04688546550569324,0.09645010046885466,0.14601473543201607,0.08158070997990623,30,0.5974547890154053,0.1205016274930731,0.09474425152510557,0.02086769564454878,0.5020028332503529,0.15983624488322132,0.12895283574245903
